Country,Indicator,Model,RMSE,Rank
Czech Republic,GDP per Capita (USD),XGBoost,7083.205558120156,1
Czech Republic,GDP (USD),XGBoost,79432013783.01979,1
Czech Republic,Inflation (CPI),XGBoost,3.0223197866526785,1
Czech Republic,Unemployment Rate (%),XGBoost,1.9680796338511675,1
Czech Republic,GDP growth (annual %),XGBoost,2.718608535532004,1
Czech Republic,Imports of goods and services (% of GDP),XGBoost,3.1857109238899284,1
Czech Republic,Exports of goods and services (% of GDP),XGBoost,4.122684975203623,1
Hungary,GDP per Capita (USD),XGBoost,3378.471983869466,1
Hungary,GDP (USD),XGBoost,29929013040.731094,1
Hungary,Inflation (CPI),XGBoost,3.195083133113304,1
Hungary,Unemployment Rate (%),XGBoost,2.5922887417782117,1
Hungary,GDP growth (annual %),XGBoost,2.7384773527829016,1
Hungary,Imports of goods and services (% of GDP),XGBoost,5.656242915361855,1
Hungary,Exports of goods and services (% of GDP),XGBoost,4.435198277223373,1
Poland,GDP per Capita (USD),XGBoost,5206.392402245296,1
Poland,GDP (USD),XGBoost,186689571748.24045,1
Poland,Inflation (CPI),XGBoost,6.2837760885387235,1
Poland,Unemployment Rate (%),XGBoost,5.158100803996938,1
Poland,GDP growth (annual %),XGBoost,2.4939471174095287,1
Poland,Imports of goods and services (% of GDP),XGBoost,5.518820434170505,1
Poland,Exports of goods and services (% of GDP),XGBoost,5.557656466735628,1
Slovakia,GDP per Capita (USD),XGBoost,4281.572831744023,1
Slovakia,GDP (USD),XGBoost,23724590035.212654,1
Slovakia,Inflation (CPI),XGBoost,4.81999830893045,1
Slovakia,Unemployment Rate (%),XGBoost,7.061613781995438,1
Slovakia,GDP growth (annual %),XGBoost,2.5017409306762106,1
Slovakia,Imports of goods and services (% of GDP),XGBoost,8.327316407337463,1
Slovakia,Exports of goods and services (% of GDP),XGBoost,4.4292173873518985,1
Germany,GDP per Capita (USD),XGBoost,5968.537962909078,1
Germany,GDP (USD),XGBoost,533283979195.0041,1
Germany,Inflation (CPI),XGBoost,1.026056686160735,1
Germany,Unemployment Rate (%),XGBoost,0.8459546165098313,1
Germany,GDP growth (annual %),XGBoost,1.2515142508620674,1
Germany,Imports of goods and services (% of GDP),XGBoost,2.5438707729307293,1
Germany,Exports of goods and services (% of GDP),XGBoost,1.6141066090809446,1
Austria,GDP per Capita (USD),XGBoost,5005.144849185155,1
Austria,GDP (USD),XGBoost,58768633417.02819,1
Austria,Inflation (CPI),XGBoost,1.6959775102557935,1
Austria,Unemployment Rate (%),XGBoost,0.5098189675124867,1
Austria,GDP growth (annual %),XGBoost,2.6936902834667085,1
Austria,Imports of goods and services (% of GDP),XGBoost,4.3216055655539956,1
Austria,Exports of goods and services (% of GDP),XGBoost,3.3928233288543725,1
France,GDP per Capita (USD),XGBoost,2576.98099060548,1
France,GDP (USD),XGBoost,205363097476.8458,1
France,Inflation (CPI),XGBoost,1.0599935035684185,1
France,Unemployment Rate (%),XGBoost,1.0359169505898465,1
France,GDP growth (annual %),XGBoost,2.942382273152182,1
France,Imports of goods and services (% of GDP),XGBoost,5.184731199654906,1
France,Exports of goods and services (% of GDP),XGBoost,4.3779508299909216,1
Italy,GDP per Capita (USD),XGBoost,2094.346412337608,1
Italy,GDP (USD),XGBoost,132197215816.7805,1
Italy,Inflation (CPI),XGBoost,1.6427803777131147,1
Italy,Unemployment Rate (%),XGBoost,0.7635979881265268,1
Italy,GDP growth (annual %),XGBoost,2.9858785294552037,1
Italy,Imports of goods and services (% of GDP),XGBoost,4.723193653244925,1
Italy,Exports of goods and services (% of GDP),XGBoost,4.279588452877789,1
