Country,Indicator,Model,RMSE,Rank
Czech Republic,GDP per Capita (USD),Prophet,1898.1889352185149,1
Czech Republic,GDP per Capita (USD),ARIMA,3913.336586408993,2
Czech Republic,GDP per Capita (USD),LSTM,4890.129098902007,3
Czech Republic,GDP per Capita (USD),Holt-Winters,5005.565045104411,4
Czech Republic,GDP per Capita (USD),XGBoost,7264.785708286575,5
Czech Republic,GDP (USD),Prophet,22258717486.727013,1
Czech Republic,GDP (USD),ARIMA,36865542548.71162,2
Czech Republic,GDP (USD),LSTM,43422652708.34497,3
Czech Republic,GDP (USD),Holt-Winters,65585383817.87267,4
Czech Republic,GDP (USD),XGBoost,82759527754.053,5
Czech Republic,Inflation (CPI),XGBoost,2.7163549532379823,1
Czech Republic,Inflation (CPI),ARIMA,3.0687650857665334,2
Czech Republic,Inflation (CPI),Holt-Winters,6.048436476833981,3
Czech Republic,Inflation (CPI),Prophet,7.188269739652926,4
Czech Republic,Inflation (CPI),LSTM,10.81359640202627,5
Czech Republic,Unemployment Rate (%),ARIMA,0.5737018260347404,1
Czech Republic,Unemployment Rate (%),XGBoost,0.7548343500127385,2
Czech Republic,Unemployment Rate (%),Holt-Winters,0.8560240530746485,3
Czech Republic,Unemployment Rate (%),Prophet,0.9182798321957378,4
Czech Republic,Unemployment Rate (%),LSTM,2.2451767886254577,5
Czech Republic,GDP growth (annual %),LSTM,1.3926672744800304,1
Czech Republic,GDP growth (annual %),ARIMA,2.9395814634318773,2
Czech Republic,GDP growth (annual %),XGBoost,3.0589160038435455,3
Czech Republic,GDP growth (annual %),Holt-Winters,3.406510752578755,4
Czech Republic,GDP growth (annual %),Prophet,4.061390598036683,5
Czech Republic,Imports of goods and services (% of GDP),ARIMA,3.2630140808634294,1
Czech Republic,Imports of goods and services (% of GDP),XGBoost,3.378143225129049,2
Czech Republic,Imports of goods and services (% of GDP),Holt-Winters,4.458144064026979,3
Czech Republic,Imports of goods and services (% of GDP),LSTM,5.5015155462559235,4
Czech Republic,Imports of goods and services (% of GDP),Prophet,13.411721052767296,5
Czech Republic,Exports of goods and services (% of GDP),ARIMA,2.3703462175411616,1
Czech Republic,Exports of goods and services (% of GDP),Holt-Winters,3.5362749985936177,2
Czech Republic,Exports of goods and services (% of GDP),XGBoost,4.083976027832756,3
